fyers_symbol,stock_name,sector,industry,basic_industry
NSE:20MICRONS-EQ,20 Microns Limited,Metals & Mining,Minerals & Mining,Industrial Minerals
NSE:21STCENMGM-EQ,21st Century Management Services Limited,Financial Services,Capital Markets,Other Capital Market related Services
NSE:360ONE-EQ,360 ONE WAM LIMITED,Financial Services,Capital Markets,Stockbroking & Allied
NSE:3BBLACKBIO-EQ,3B Blackbio Dx Limited,Healthcare,Healthcare Services,Healthcare Service Provider
NSE:3IINFOLTD-EQ,3i Infotech Limited,Information Technology,IT - Software,Computers - Software & Consulting
NSE:3MINDIA-EQ,3M India Limited,Diversified,Diversified,Diversified
NSE:3PLAND-EQ,3P Land Holdings Limited,Financial Services,Finance,Investment Company
NSE:5PAISA-EQ,5Paisa Capital Limited,Financial Services,Capital Markets,Stockbroking & Allied
NSE:63MOONS-EQ,63 moons technologies limited,Information Technology,IT - Software,Computers - Software & Consulting
NSE:A2ZINFRA-EQ,A2Z Infra Engineering Limited,Services,Commercial Services & Supplies,Diversified Commercial Services
NSE:AAATECH-EQ,AAA Technologies Limited,Services,Commercial Services & Supplies,Consulting Services
NSE:AADHARHFC-EQ,Aadhar Housing Finance Limited,Financial Services,Finance,Housing Finance Company
NSE:AAKASH-BE,Aakash Exploration Services Limited,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling
NSE:AAREYDRUGS-BE,Aarey Drugs & Pharmaceuticals Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:AARNAV-EQ,Aarnav Fashions Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:AARON-EQ,Aaron Industries Limited,Capital Goods,Industrial Manufacturing,Industrial Products
NSE:AARTECH-EQ,Aartech Solonics Limited,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
NSE:AARTIDRUGS-EQ,Aarti Drugs Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:AARTIIND-EQ,Aarti Industries Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:AARTIPHARM-EQ,Aarti Pharmalabs Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:AARTISURF-EQ,Aarti Surfactants Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:AARVI-EQ,Aarvi Encon Limited,Services,Commercial Services & Supplies,Diversified Commercial Services
NSE:AAVAS-EQ,Aavas Financiers Limited,Financial Services,Finance,Housing Finance Company
NSE:ABAN-BE,Aban Offshore Limited,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling
NSE:ABANSENT-BE,Abans Enterprises Limited,Metals & Mining,Metals & Minerals Trading,Trading - Metals
NSE:ABB-EQ,ABB India Limited,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
NSE:ABBOTINDIA-EQ,Abbott India Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:ABCAPITAL-EQ,Aditya Birla Capital Limited,Financial Services,Finance,Investment Company
NSE:ABCOTS-EQ,A B Cotspin India Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:ABDL-EQ,Allied Blenders and Distillers Limited,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
