Stock Name,Symbol,Sector,Industry Name,Exchange, ISIN NUMBER
Grindwell Norton Ltd.,GRINDWELL,Abrasives,Abrasives,NSE,INE536A01023
Carborundum Universal Ltd.,CARBORUNIV,Abrasives,Abrasives,NSE,INE120A01034
Wendt (India) Ltd.,WENDT,Abrasives,Abrasives,NSE,INE274C01019
Signpost India Ltd.,SIGNPOST,Media & Entertainment,Advertising & Media,NSE,INE0KGZ01021
Vertoz Ltd.,VERTOZ,Media & Entertainment,Advertising & Media,NSE,INE188Y01031
RK Swamy Ltd.,RKSWAMY,Media & Entertainment,Advertising & Media,NSE,INE0NQ801033
Cash UR Drive Marketing Ltd.,CUDML,Media & Entertainment,Advertising & Media,NSE,INE0WL201014
Maxposure Ltd.,MAXPOSURE,Media & Entertainment,Advertising & Media,NSE,INE0ECC01022
Crayons Advertising Ltd.,CRAYONS,Media & Entertainment,Advertising & Media,NSE,INE0OFK01019
Graphisads Ltd.,GRAPHISAD,Media & Entertainment,Advertising & Media,NSE,INE0POU01017
Veritaas Advertising Ltd.,VERITAAS,Media & Entertainment,Advertising & Media,NSE,INE0SRI01019
Kaveri Seed Company Ltd.,KSCL,Agriculture,Agriculture,NSE,INE455I01029
Venky'S (India) Ltd.,VENKEYS,Agriculture,Agriculture,NSE,INE398A01010
Bombay Super Hybrid Seeds Ltd.,BSHSL,Agriculture,Agriculture,NSE,INE032Z01020
AVT Natural Products Ltd.,AVTNPL,Agriculture,Agriculture,NSE,INE488D01021
Regaal Resources Ltd.,REGAAL,Agriculture,Agriculture,NSE,INE0MHO01029
Shri Ahimsa Naturals Ltd.,SHRIAHIMSA,Agriculture,Agriculture,NSE,INE0DM401012
Mangalam Global Enterprise Ltd.,MGEL,Agriculture,Agriculture,NSE,INE0APB01032
Freshara Agro Exports Ltd.,FRESHARA,Agriculture,Agriculture,NSE,INE0SFW01015
Harrisons Malayalam Ltd.,HARRMALAYA,Agriculture,Agriculture,NSE,INE544A01019
Nath Bio-Genes (India) Ltd.,NATHBIOGEN,Agriculture,Agriculture,NSE,INE448G01010
Indo US Bio-Tech Ltd.,INDOUS,Agriculture,Agriculture,NSE,INE250Z01010
Kotyark Industries Ltd.,KOTYARK,Agriculture,Agriculture,NSE,INE0J0B01017
Sheetal Universal Ltd.,SHEETAL,Agriculture,Agriculture,NSE,INE04VX01019
Shree Oswal Seeds and Chemicals Ltd.,OSWALSEEDS,Agriculture,Agriculture,NSE,INE00IK01029
Sheel Biotech Ltd.,SHEEL,Agriculture,Agriculture,NSE,INE0YJV01017
Upsurge Seeds Of Agriculture Ltd.,USASEEDS,Agriculture,Agriculture,NSE,INE0CBM01019
Agri-Tech (India) Ltd.,AGRITECH,Agriculture,Agriculture,NSE,INE449G01018
Narmada Agrobase Ltd.,NARMADA,Agriculture,Agriculture,NSE,INE117Z01011
Sameera Agro & Infra Ltd.,SAIFL,Agriculture,Agriculture,NSE,INE0PZA01015
Rajgor Castor Derivatives Ltd.,RCDL,Agriculture,Agriculture,NSE,INE0BZQ01011
